dataset,parent_id,ref_state,n,r_cos_spatial,selected_median_km,remaining_median_km
candidate,000000000000000004e9,good,100,0.28169912792638896,0.37847773964076703,2.7759253063769105
candidate,000000000000000004eb,bad,100,0.1748291348211154,2.1829890722146543,2.2315126067211755
candidate,000000000000000004eb,good,100,0.10267070685194706,1.583587903990674,2.354638080784236
candidate,000000000000000004ee,bad,100,-0.4752921668586492,3.3755197624933597,2.611261564526249
candidate,000000000000000004ee,good,100,-0.15618722056753923,2.729999476493964,2.4192343863220023
candidate,000000000000000004f5,bad,100,-0.20420399213256007,0.5666805996482811,0.5658083171692626
candidate,000000000000000004f5,good,100,0.41530018470212005,2.006246106583579,2.823344046376483
candidate,000000000000000004f7,bad,100,0.26362537517545764,0.720667200330621,1.7775929208986463
candidate,000000000000000004f7,good,100,0.20393130121677547,1.0280071274539375,2.393712072302641
candidate,000000000000000004f9,bad,100,0.2964727055534633,0.43888296195725063,2.4467124653307275
candidate,000000000000000004f9,good,100,-0.07325998278808502,1.6500734555089958,2.002472869114497
candidate,000000000000000004fe,bad,100,0.21754322724681935,1.3855314581262839,1.0784938330712015
candidate,000000000000000004fe,good,100,0.28962771674767224,1.4001450842971181,2.564831083479512
candidate,00000000000000000517,bad,100,-0.013640826012972994,2.918249697818466,3.1038793464501753
candidate,00000000000000000517,good,100,0.38217384534703264,0.3164657022326783,2.1640583868708405
candidate,0000000000000000051d,bad,100,0.48153569025116694,0.15068250192856297,1.986963021233641
candidate,0000000000000000051d,good,100,-0.13620623998896816,2.2193471373656006,2.3786665378201106
candidate,00000000000000000538,bad,100,-0.25615051952051093,0.17670383180102034,0.18210248070088428
candidate,00000000000000000538,good,100,0.46271342745338323,0.47358874366377457,2.3120104184347015
candidate,00000000000000000559,bad,100,0.3592741802351695,1.233121400247378,2.062372080993434
candidate,00000000000000000559,good,100,-0.08739241228806026,1.8601626549490353,1.970963059868371
candidate,00000000000000000576,bad,100,0.13766590143612575,0.24859134586626325,0.6261460239221163
candidate,00000000000000000576,good,100,0.2840029285473547,1.8879311188713293,2.4922491968143494
candidate,00000000000000000577,bad,100,0.26986218383545063,0.2454323097203422,0.7331611632501419
candidate,00000000000000000577,good,100,0.19467493322717808,1.5087031673848812,2.6172891587570355
candidate,0000000000000000057e,bad,100,-0.0158136416003196,1.8004286967644714,1.7374646622795624
candidate,0000000000000000057e,good,100,0.06179742892696428,1.7480730140680105,2.2076590520771653
candidate,0000000000000000057f,bad,100,0.23700333288708508,0.5228720702483475,0.6300849113151199
candidate,0000000000000000057f,good,100,0.2997725863210778,0.7467121288367393,2.283995026334633
candidate,00000000000000000594,bad,100,0.4867093848652763,0.08204324285429851,1.9066131529487813
candidate,00000000000000000594,good,100,-0.10927199330243038,2.9737560971800403,2.2543419253327888
