parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
0000000000000000062c,stable_nature,2000,72,19,0.09242530301004619,0.1974977591108387,0.6812074819622657
0000000000000000062d,stable_crop,0,100,100,0.044319768081138446,0.04935146064949194,0.5268582607246958
0000000000000000062d,stable_crop,500,98,98,0.044319768081138446,0.04935146064949194,0.5268582607246958
0000000000000000062d,stable_crop,1000,81,94,0.04509238733336403,0.04935146064949194,0.5225481775999636
0000000000000000062d,stable_crop,2000,45,75,0.05230263927032099,0.05116534103133574,0.49450410534419187
0000000000000000062e,stable_nature,0,100,100,0.15116866145575736,0.16114023913524958,0.5159642867359693
0000000000000000062e,stable_nature,500,98,100,0.15130168787132547,0.16114023913524958,0.5157446078974631
0000000000000000062e,stable_nature,1000,90,100,0.1536124983186859,0.16114023913524958,0.5119581816451103
0000000000000000062e,stable_nature,2000,64,100,0.1572981244868474,0.16114023913524958,0.5060327446160817
00000000000000000630,stable_nature,0,100,100,0.049754901840436315,0.04298050052722273,0.46347456774230233
00000000000000000630,stable_nature,500,98,99,0.049754901840436315,0.04677869490306778,0.4845846055739243
00000000000000000630,stable_nature,1000,94,95,0.05361135330567555,0.05774315222922584,0.5185524550742949
00000000000000000630,stable_nature,2000,79,66,0.05361135330567555,0.06076744527507465,0.5312824232162414
00000000000000000631,stable_nature,0,100,100,0.032550710467234525,0.22667250703561476,0.8744298030798451
00000000000000000631,stable_nature,500,98,100,0.032550710467234525,0.22667250703561476,0.8744298030798451
00000000000000000631,stable_nature,1000,87,100,0.03273030008236875,0.22667250703561476,0.8738244182980027
00000000000000000631,stable_nature,2000,64,97,0.03273030008236875,0.22667250703561476,0.8738244182980027
00000000000000000634,stable_nature,0,100,100,0.015531732000202126,0.03050536621458333,0.6626257387378834
00000000000000000634,stable_nature,500,99,100,0.015531732000202126,0.03050536621458333,0.6626257387378834
00000000000000000634,stable_nature,1000,93,100,0.015531732000202126,0.03050536621458333,0.6626257387378834
00000000000000000634,stable_nature,2000,67,54,0.015531732000202126,0.03050536621458333,0.6626257387378834
00000000000000000635,stable_crop,0,100,100,0.02247866361438271,0.012866701694236139,0.36402797315931573
00000000000000000635,stable_crop,500,100,96,0.02247866361438271,0.01776419604850874,0.44142479428339304
00000000000000000635,stable_crop,1000,97,89,0.02275564088795947,0.02285390000206764,0.5010771771781581
00000000000000000635,stable_crop,2000,72,44,0.0243484884005297,0.02408975569199563,0.49732925176814313
00000000000000000637,stable_crop,0,100,100,0.0752941643568102,0.012774185268337202,0.14504853698932674
00000000000000000637,stable_crop,500,100,94,0.0752941643568102,0.02025232093947018,0.21196301335897114
00000000000000000637,stable_crop,1000,89,88,0.0752941643568102,0.02241813806303299,0.22943004624411484
00000000000000000637,stable_crop,2000,63,71,0.07723721918843736,0.02241813806303299,0.22495667750443257
00000000000000000638,stable_crop,0,100,100,0.10487138204414348,0.01359237252465204,0.11473866056341982
00000000000000000638,stable_crop,500,100,96,0.10487138204414348,0.014078984532857431,0.11836016094683685
00000000000000000638,stable_crop,1000,98,84,0.10487138204414348,0.02183863865659077,0.1723513147235392
00000000000000000638,stable_crop,2000,94,46,0.10933504884420442,0.030521033295608246,0.21823171955352258
00000000000000000639,stable_built,0,100,100,0.1814426341595517,0.09355050657495671,0.34019214561040517
00000000000000000639,stable_built,500,98,98,0.1814426341595517,0.09355050657495671,0.34019214561040517
00000000000000000639,stable_built,1000,92,68,0.19191535425778586,0.10470738345426352,0.3529985066605267
00000000000000000639,stable_built,2000,62,31,0.2653891101661333,0.16980344774221176,0.3901800356098541
0000000000000000063b,stable_crop,0,100,100,0.04977009638857355,0.029491840285121862,0.3720807429442638
0000000000000000063b,stable_crop,500,97,100,0.04977009638857355,0.029491840285121862,0.3720807429442638
0000000000000000063b,stable_crop,1000,92,92,0.050360171265204645,0.03281749329476533,0.3945469431966296
0000000000000000063b,stable_crop,2000,58,67,0.07597409871854133,0.03281749329476533,0.3016546838513923
0000000000000000063c,stable_crop,0,100,100,0.06694634378579131,0.020084048298394098,0.23077051380781805
0000000000000000063c,stable_crop,500,99,98,0.06848222103220562,0.02035740072801375,0.22914776452706878
0000000000000000063c,stable_crop,1000,91,92,0.08185518689927081,0.02067068334482234,0.20161431739528812
0000000000000000063c,stable_crop,2000,79,64,0.08185518689927081,0.023136375091264472,0.2203641383402772
0000000000000000063d,stable_nature,0,100,100,0.06308369220088186,0.09404347785754912,0.5985182436747164
0000000000000000063d,stable_nature,500,98,100,0.07264818052150109,0.09404347785754912,0.5641762687556555
0000000000000000063d,stable_nature,1000,89,99,0.07734083256022559,0.09404347785754912,0.5487286299880978
0000000000000000063d,stable_nature,2000,61,61,0.1146540612709382,0.18744401270196853,0.6204740408843479
0000000000000000063f,stable_built,0,100,100,0.04323491923357281,0.02693893491032151,0.3838884900735001
0000000000000000063f,stable_built,500,98,90,0.046801301686339135,0.030198415897225606,0.3921886578877418
0000000000000000063f,stable_built,1000,93,64,0.04750209223393833,0.04244854879269313,0.47190935281554675
0000000000000000063f,stable_built,2000,58,18,0.06193212057162034,0.070326084702232,0.5317332452537359
00000000000000000640,stable_crop,0,100,100,0.04021171170155182,0.026929512143313027,0.4010875971688381
00000000000000000640,stable_crop,500,99,97,0.04021171170155182,0.02909929495454757,0.4198365650424006
00000000000000000640,stable_crop,1000,97,84,0.04021171170155182,0.02909929495454757,0.4198365650424006
